Kanji	Onyomi	Kunyomi	English
氏	シ	うじ -うじ	family name, surname, clan
統	トウ ホビ.	す.べる	overall, relationship, ruling, governing
保	ホ ホウ タモ.		protect, guarantee, keep, preserve, sustain, support
第	ダイ テイ		No., residence
結	ケツ ケチ ユ.ワエ	むす.ぶ ゆ.う	tie, bind, contract, join, organize, do up hair, fasten
派	ハ		faction, group, party, clique, sect, school
案	アン	つくえ	plan, suggestion, draft, ponder, fear, proposition, idea, expectation, bill, worry
策	サク		scheme, plan, policy, step, means
基	キ モト	もと	fundamentals, radical (chem), counter for machines, foundation
価	カ ケ	あたい	value, price
提	テイ チョウ ダイ	さ.げる	propose, take along, carry in hand
挙	キョ コゾ.	あ.げる あ.がる	raise, plan, project, behavior, actions
応	オウ ヨウ -ノウ コタ.エ	あた.る まさに	apply, answer, yes, OK, reply, accept
企	キ	くわだ.てる	undertake, scheme, design, attempt, plan
検	ケン	しら.べる	examination, investigate
藤	トウ ドウ フ		wisteria
沢	タク ツ	さわ うるお.い うるお.す	swamp
裁	サイ	た.つ さば.く	tailor, judge, decision, cut out (pattern)
証	ショウ	あかし	evidence, proof, certificate
援	エン		abet, help, save
施	シ セ	ほどこ.す	alms, apply bandages, administer first-aid
井	セイ ショウ		well, well crib, town, community
護	ゴ マモ.		safeguard, protect
展	テ		unfold, expand
態	タイ	わざ.と	attitude, condition, figure, appearance, voice (of verbs)
鮮	セン	あざ.やか	fresh, vivid, clear, brilliant, Korea
視	シ ミ.		inspection, regard as, see, look at
条	ジョウ チョウ デキ	えだ すじ	article, clause, item, stripe, streak
幹	カン ミ		tree trunk
独	ドク トク ヒト.		single, alone, spontaneously, Germany
宮	キュウ グウ ク クウ ミ		Shinto shrine, constellations, palace, princess
率	ソツ リツ シュツ	ひき.いる	ratio, rate, proportion, %, coefficient, factor
衛	エイ		defense, protection
張	チョウ -バ.	は.る -は.り	lengthen, counter for bows & stringed instruments, stretch, spread, put up (tent)
監	カ		oversee, official, govt office, rule, administer
環	カン		ring, circle, link, wheel
審	シン ツブサ.	つまび.らか	hearing, judge, trial
義			righteousness, justice, morality, honor, loyalty, meaning
訴	ソ	うった.える	accusation, sue, complain of pain, appeal to
株	シュ	かぶ	stocks, stump, shares, stock, counter for small plants
姿	シ スガ		figure, form, shape
閣	カク		tower, tall building, palace
衆	シュウ シュ	おお.い	masses, great numbers, multitude, populace
評	ヒョウ		evaluate, criticism, comment
影	エイ	かげ	shadow, silhouette, phantom
松	ショウ マ		pine tree
撃	ゲキ	う.つ	beat, attack, defeat, conquer
佐			assistant, help
核	カク		nucleus, core, kernel
整	セイ トトノ.	ととの.える	organize, arranging, tune, tone, meter, key (music)
融	ユウ ト.カ	と.ける	dissolve, melt
製	セイ		made in..., manufacture
票	ヒョウ		ballot, label, ticket, sign
渉	ショウ ワタ.		ford, ferry, port
響	キョウ	ひび.く	echo, also N5116, sound, resound, ring, vibrate
推	スイ	お.す	conjecture, infer, guess, suppose, support
請	セイ シン ショウ ウ.ケ	こ.う	solicit, invite, ask
器	キ	うつわ	utensil, vessel, receptacle, implement, instrument, ability, container, tool, set
士			gentleman, samurai
討	トウ	う.つ	chastise, attack, defeat, destroy, conquer
攻	コウ セ.メ		aggression, attack
崎	キ	さき さい みさき	promontory, cape, spit
督	ト		coach, command, urge, lead, supervise
授	ジュ	さず.ける さず.かる	impart, instruct, grant, confer
催	サイ	もよう.す もよお.す	sponsor, hold (a meeting), give (a dinner)
及	キュウ オヨ.ボ	およ.ぶ およ.び および	reach out, exert, exercise, cause
憲	ケ		constitution, law
離	リ	はな.れる はな.す	detach, separation, disjoin, digress
激	ゲキ	はげ.しい	violent, get excited, enraged, chafe, incite
摘	テキ ツ.		pinch, pick, pluck, trim, clip, summarize
系	ケイ		lineage, system
批	ヒ		criticism, strike
郎	ロウ リョウ オト		son, counter for sons
健	ケン スコ.ヤ		healthy, health, strength, persistence
盟	メイ		alliance, oath
従	ジュウ ショウ ジュ	したが.う したが.える より	accompany, obey, submit to, comply, follow, secondary, incidental, subordinate
修	シュウ シュ オサ.マ	おさ.める	discipline, conduct oneself well, study, master
隊	タイ		regiment, party, company, squad
織	ショク シキ -オ.	お.る お.り おり -おり	weave, fabric
拡	カク コウ	ひろ.がる ひろ.げる ひろ.める	broaden, extend, expand, enlarge
故	コ	ゆえ	happenstance, especially, intentionally, reason, cause, circumstances, the late, therefore, consequently
振	シン フ.ル	ふ.る ぶ.る ふ.り -ぶ.り	shake, wave, wag, swing
弁	ベン ヘン アラソ.	わきま.える わ.ける はなびら	valve, petal, braid, speech, dialect, discrimination, dispose of, distinguish
就	シュウ ジュ ツ.ケ	つ.く	concerning, settle, take position, depart, study, per
異	イ	こと こと.なる け	uncommon, queerness, strangeness, wonderful, curious, unusual
献	ケン コン	たてまつ.る	offering, counter for drinks, present, offer
厳	ゲン ゴン イツク	おごそ.か きび.しい いか.めしい	stern, strictness, severity, rigidity
維			fiber, tie, rope
浜	ヒン	はま	seacoast, beach, seashore
遺	イ ユイ		bequeath, leave behind, reserve
塁	ルイ ライ スイ トリ		bases, fort, rampart, walls, base(ball)
邦	ホウ	くに	home country, country, Japan
素	ソ ス	もと	elementary, principle, naked, uncovered
遣	ケン	つか.う -つか.い -づか.い つか.わす や.る	despatch, send, give, donate, do, undertake
抗	コウ		confront, resist, defy, oppose
模	モ		imitation, copy, mock
雄	ユウ オ	お- おす	masculine, male, hero, leader, superiority, excellence
益	エキ ヤク マ.		benefit, gain, profit, advantage
緊	キン		tense, solid, hard, reliable, tight
標	ヒョウ シル	しるべ	signpost, seal, mark, stamp, imprint, symbol, emblem, trademark, evidence, souvenir, target
宣	セン ノタマ.ワ	のたむ.う	proclaim, say, announce
昭	ショ		shining, bright
廃	ハイ	すた.れる すた.る	abolish, obsolete, cessation, discarding, abandon
伊	イ カ		Italy, that one
江	コウ		creek, inlet, bay
僚	リョウ		colleague, official, companion
吉	キチ キツ ヨ		good luck, joy, congratulations
盛	セイ ジョウ サカ.	も.る さか.る	boom, prosper, copulate
皇	コウ オ		emperor
臨	リン ノゾ.		look to, face, meet, confront, attend, call on
踏	トウ	ふ.む ふ.まえる	step, trample, carry through, appraise, evade payment
壊	カイ エ	こわ.す こわ.れる やぶ.る	demolition, break, destroy
債	サイ		bond, loan, debt
興	コウ キョウ オコ.	おこ.る	entertain, revive, retrieve, interest, pleasure
源	ゲン ミナモ		source, origin
儀			ceremony, rule, affair, case, a matter
創	ソウ ショウ ケズ.シケ	つく.る はじ.める きず	genesis, wound, injury, hurt, start, originate
障	ショウ	さわ.る	hinder, hurt, harm
継	ケイ	つ.ぐ まま-	inherit, succeed, patch, graft (tree)
筋	キン	すじ	muscle, sinew, tendon, fiber, plot, plan, descent
闘	トウ アラソ.	たたか.う	fight, war
葬	ソウ ホウム.		interment, bury, shelve
避	ヒ	さ.ける よ.ける	evade, avoid, avert, ward off, shirk, shun
司	シ ツカサド.		director, official, govt office, rule, administer
康	コ		ease, peace
善	ゼン ヨシ.トス	よ.い い.い よ.く	virtuous, good, goodness
逮	タイ		apprehend, chase
迫	ハク セマ.		urge, force, imminent, spur on
惑	ワク	まど.う	beguile, delusion, perplexity
崩	ホウ	くず.れる -くず.れ くず.す	crumble, die, demolish, level
紀			chronicle, account, narrative, history, annals, geologic period
聴	チョウ テイ ユル.	き.く	listen, headstrong, naughty, careful inquiry
脱	ダツ	ぬ.ぐ ぬ.げる	undress, removing, escape from, get rid of, be left out, take off
級	キュ		class, rank, grade
博	ハク バ		Dr., command, esteem, win acclaim, Ph.D., exposition, fair
締	テイ	し.まる し.まり し.める -し.め -じ.め	tighten, tie, shut, lock, fasten
救	キュウ	すく.う	salvation, save, help, rescue, reclaim
執	シツ シュウ ト.		tenacious, take hold, grasp, take to heart
房	ボウ フ		tassel, tuft, fringe, bunch, lock (hair), segment (orange), house, room
撤	テツ		remove, withdraw, disarm, dismantle, reject, exclude
削	サク ソ.	けず.る はつ.る	plane, sharpen, whittle, pare
密	ミツ	ひそ.か	secrecy, density (pop), minuteness, carefulness
措	ソ	お.く	set aside, give up, suspend, discontinue, lay aside, except
志	シ シリング ココロザ	こころざ.す	intention, plan, resolve, aspire, motive, hopes, shilling
載	サイ ノ.	の.せる	ride, board, get on, place, spread, 10**44
陣	ジン		camp, battle array, ranks, position
我	ガ	われ わ わ.が- わが	ego, I, selfish, our, oneself
為	イ ナ	ため な.る な.す す.る たり つく.る	do, change, make, benefit, welfare, be of use, reach to, try, practice, cost, serve as, good, advantage, as a re
抑	ヨク	おさ.える	repress, well, now, in the first place, push, shove, press, seal, do in spite of
幕	マク バク		curtain, bunting, act of play
染	セン -シ.メ	そ.める -ぞ.め -ぞめ そ.まる し.みる -じ.みる し.み	dye, color, paint, stain, print
奈	ナ ナイ ダイ	いかん からなし	Nara, what?
傷	ショウ	きず いた.む いた.める	wound, hurt, injure, impair, pain, injury, cut, gash, scar, weak point
択	タク	えら.ぶ	choose, select, elect, prefer
秀	シュウ ヒイ.デ		excel, excellence, beauty, surpass
徴	チョウ チ	しるし	indications, sign, omen, symptom, collect, seek, refer to, question
弾	ダン タン	ひ.く -ひ.き はず.む たま はじ.く はじ.ける ただ.す はじ.きゆみ	bullet, twang, flip, snap
償	ショウ	つぐな.う	reparation, make up for, recompense, redeem
功	コウ ク イサ		achievement, merits, success, honor, credit
拠	キョ コ	よ.る	foothold, based on, follow, therefore
秘	ヒ	ひ.める ひそ.か かく.す	secret, conceal
拒	キョ ゴ	こば.む	repel, refuse, reject, decline
刑	ケ		punish, penalty, sentence, punishment
塚	チョウ -ヅ	つか	hillock, mound
致	チ	いた.す	doth, do, send, forward, cause, exert, incur, engage
繰	ソウ ク.		winding, reel, spin, turn (pages), look up, refer to
尾	ビ	お	tail, end, counter for fish, lower slope of mountain
描	ビョウ	えが.く か.く	sketch, compose, write, draw, paint
鈴	レイ リン ス		small bell, buzzer
盤	バ		tray, shallow bowl, platter, tub, board, phonograph record
項	コウ	うなじ	paragraph, nape of neck, clause, item, term (expression)
喪	ソウ	も	miss, mourning
伴	ハン バン トモナ.		consort, accompany, bring with, companion
養	ヨウ リョウ ヤシナ.		foster, bring up, rear, develop, nurture
懸	ケン ケ	か.ける か.かる	suspend, hang, 10%, install, depend, consult
街	ガイ カイ マ		boulevard, street, town
契	ケイ	ちぎ.る	pledge, promise, vow
掲	ケイ	かか.げる	put up (a notice), put up, hoist, display, hang out, publish, describe
躍	ヤク オド.		leap, dance, skip
棄	キ	す.てる	abandon, throw away, discard, resign, reject, sacrifice
邸	テイ ヤシ		residence, mansion
縮	シュク	ちぢ.む ちぢ.まる ちぢ.める ちぢ.れる ちぢ.らす	shrink, contract, shrivel, wrinkle, reduce
還	カン	かえ.る	send back, return
属	ゾク ショク ヤカ	さかん つく	belong, genus, subordinate official, affiliated
慮	リョ オモンパカ.	おもんぱく.る	prudence, thought, concern, consider, deliberate, fear
枠		わく	frame, framework, spindle, spool, bounding-box, (kokuji)
恵	ケイ エ メグ.	めぐ.む	favor, blessing, grace, kindness
露	ロ ロウ ツ		dew, tears, expose, Russia
沖	チュウ	おき おきつ ちゅう.する わく	open sea, offing, rise high into sky
緩	カン ユル.メ	ゆる.い ゆる.やか ゆる.む	slacken, loosen, relax, lessen, be moderate, ease
節	セツ セチ ノッ	ふし -ぶし	node, season, period, occasion, verse, clause, stanza, honor, joint, knuckle, knob, knot, tune, melody
需	ジュ		demand, request, need
射	シャ	い.る さ.す	shoot, shine into, onto, archery
購	コウ		subscription, buy
揮	キ	ふる.う	brandish, wave, wag, swing, shake
充	ジュウ ミ.タ	あ.てる	allot, fill
貢	コウ ク	みつ.ぐ	tribute, support, finance
鹿	ロク	しか	deer
却	キャク	かえ.って しりぞ.く しりぞ.ける	instead, on the contrary, rather
端	タン ハ	はし は はた -ばた	edge, origin, end, point, border, verge, cape
賃	チ		fare, fee, hire, rent, wages, charge
獲	カク	え.る	seize, get, find, earn, acquire, can, may, able to
郡	グン	こうり	county, district
併	ヘイ	あわ.せる	join, get together, unite, collective
徹	テ		penetrate, clear, pierce, strike home, sit up (all night)
貴	キ トウト.	たっと.い とうと.い たっと.ぶ	precious, value, prize, esteem, honor
衝	ショウ	つ.く	collide, brunt, highway, opposition (astronomy), thrust, pierce, stab, prick
焦	ショウ	こ.げる こ.がす こ.がれる あせ.る	char, hurry, impatient, irritate, burn, scorch, singe
奪	ダツ	うば.う	rob, take by force, snatch away, dispossess, plunder, usurp
災	サイ	わざわ.い	disaster, calamity, woe, curse, evil
浦	ホ	うら	bay, creek, inlet, gulf, beach, seacoast
析	セキ		chop, divide, tear, analyze
譲	ジョウ ユズ.		defer, turnover, transfer, convey
称	ショウ ホメ.	たた.える とな.える あ.げる かな.う はか.り はか.る	appellation, praise, admire, name, title, fame
納	ノウ ナッ ナ ナン トウ オサ.マ	おさ.める -おさ.める	settlement, obtain, reap, pay, supply, store
樹	ジュ		timber trees, wood
挑	チョウ	いど.む	challenge, contend for, make love to
誘	ユウ イウ	さそ.う いざな.う	entice, lead, tempt, invite, ask, call for, seduce, allure
紛	フン	まぎ.れる -まぎ.れ まぎ.らす まぎ.らわす まぎ.らわしい	distract, be mistaken for, go astray, divert
至	シ イタ.		climax, arrive, proceed, reach, attain, result in
宗	シュウ ソウ ム		religion, sect, denomination, main point, origin, essence
促	ソク	うなが.す	stimulate, urge, press, demand, incite
慎	シン ツツシ.	つつし.む つつし	humility, be careful, discrete, prudent
控	コウ	ひか.える ひか.え	withdraw, draw in, hold back, refrain from, be moderate
智			wisdom, intellect, reason
握	アク	にぎ.る	grip, hold, mould sushi, bribe
宙	チュ		mid-air, air, space, sky, memorization, interval of time
俊	シュ		sagacious, genius, excellence
銭	セン ゼン	ぜに すき	coin, .01 yen, money
渋	ジュウ シュウ	しぶ しぶ.い しぶ.る	astringent, hesitate, reluctant, have diarrhea
銃	ジュウ		gun, arms
操	ソウ サン アヤツ.	みさお	maneuver, manipulate, operate, steer, chastity, virginity, fidelity
携	ケイ	たずさ.える たずさ.わる	portable, carry (in hand), armed with, bring along
診	シン	み.る	checkup, seeing, diagnose, examine
託	タク	かこつ.ける かこ.つ かこ.つける	consign, requesting, entrusting with, pretend, hint
撮	サツ	と.る つま.む -ど.り	snapshot, take pictures
誕	タン		nativity, be born, declension, lie, be arbitrary
侵	シン	おか.す	encroach, invade, raid, trespass, violate
括	カツ	くく.る	fasten, tie up, arrest, constrict
謝	シャ アヤマ.		apologize, thank, refuse
駆	ク	か.ける か.る	drive, run, gallop, advance, inspire, impel
透	トウ トウ.	す.く す.かす す.ける とう.る	transparent, permeate, filter, penetrate
津	シン		haven, port, harbor, ferry
壁	ヘキ	かべ	wall, lining (stomach), fence
稲	トウ テ	いね いな	rice plant
仮	カ ケ	かり かり-	sham, temporary, interim, assumed (name), informal
裂	レツ	さ.く さ.ける -ぎ.れ	split, rend, tear
敏	ビン サト		cleverness, agile, alert
是	ゼ シ	これ	just so, this, right, justice
排	ハ		repudiate, exclude, expel, reject
裕	ユ		abundant, rich, fertile
堅	ケン -ガタ.	かた.い	strict, hard, solid, tough, tight, reliable
訳	ヤク	わけ	translate, reason, circumstance, case
芝	シ シ		turf, lawn
綱	コウ	つな	hawser, class (genus), rope, cord, cable
典	テン デ		code, ceremony, law, rule
賀			congratulations, joy
扱	ショウ	あつか.る あつか.い あつか.う	handle, entertain, thresh, strip
顧	コ カエリ.ミ		look back, review, examine oneself, turn around
弘	コウ グ ヒロ.		vast, broad, wide
看	カン	み.る	watch over, see
訟	ショウ		sue, accuse
戒	カイ	いまし.める	commandment
祉	シ		welfare, happiness
誉	ヨ ホ.メ	ほま.れ	reputation, praise, honor, glory
歓	カン ヨロコ.		delight, joy
奏	ソウ カナ.デ		play music, speak to a ruler, complete
勧	カン ケン	すす.める	persuade, recommend, advise, encourage, offer
騒	ソウ	さわ.ぐ うれい さわ.がしい	boisterous, make noise, clamor, disturb, excite
閥	バツ		clique, lineage, pedigree, faction, clan
甲	コウ カン カ キノ		armor, high (voice), A grade, first class, former, instep, carapace
縄	ジョウ	なわ ただ.す	straw rope, cord
郷	キョウ ゴウ サ		home town, village, native place, district
揺	ヨウ	ゆ.れる ゆ.る ゆ.らぐ ゆ.るぐ ゆ.する ゆ.さぶる ゆ.すぶる うご.く	swing, shake, sway, rock, tremble, vibrate
免	メン マヌガ.レ	まぬか.れる	excuse, dismissal
既	キ	すで.に	previously, already, long ago
薦	セン スス.メ		recommend, mat, advise, encourage, offer
隣	リン トナ	とな.る	neighboring
華	カ ケ ハ		splendor, flower, petal, shine, luster, ostentatious, showy, gay, gorgeous
範	ハ		pattern, example, model
隠	イン オン ヨ.	かく.す かく.し かく.れる かか.す	conceal, hide, cover
徳	ト		benevolence, virtue, goodness, commanding respect
哲	テ		philosophy, clear
杉	サン	すぎ	cedar, cryptomeria
釈	シャク セキ ユル.	とく す.てる	explanation
己	コ キ ツチノ	おのれ	self, snake, serpent
妥			gentle, peace, depravity
威	イ オド.カ	おど.す おど.し	intimidate, dignity, majesty, menace, threaten
豪	ゴウ エラ.		overpowering, great, powerful, excelling, Australia
熊	ユウ	くま	bear
滞	タイ テイ	とどこお.る	stagnate, be delayed, overdue, arrears
微	ビ カス.		delicate, minuteness, insignificance
隆	リュ		hump, high, noble, prosperity
症	ショウ		symptoms, illness
暫	ザン	しばら.く	temporarily, a while, moment, long time
忠	チュ		loyalty, fidelity, faithfulness
倉	ソウ	くら	godown, warehouse, storehouse, cellar, treasury
彦	ゲン ヒ		lad, boy (ancient)
肝	カン	きも	liver, pluck, nerve, chutzpah
喚	カン	わめ.く	yell, cry, scream
沿	エン	そ.う -ぞ.い	run alongside, follow along, run along, lie along
妙	ミョウ ビョウ	たえ	exquisite, strange, queer, mystery, miracle, excellent, delicate, charming
唱	ショウ	とな.える	chant, recite, call upon, yell
阿	ア オ オモネ.		Africa, flatter, fawn upon, corner, nook, recess
索	サク		cord, rope
誠	セイ マコ		sincerity, admonish, warn, prohibit, truth, fidelity
襲	シュウ カサ.	おそ.う	attack, advance on, succeed to, pile, heap
懇	コン	ねんご.ろ	sociable, kind, courteous, hospitable, cordial
俳	ハイ		haiku, actor
柄	ヘイ ツ	がら え	design, pattern, build, nature, handle, crank, grip, knob, shaft
驚	キョウ	おどろ.く おどろ.かす	wonder, be surprised, frightened, amazed
麻	マ マア ア		hemp, flax
李	リ スモ		plum
浩	コウ ヒロ.	おおき.い	wide expanse, abundance, vigorous
剤	ザイ スイ セイ	かる けず.る	dose, medicine, drug
瀬	ライ		rapids, current, torrent, shallows, shoal
趣	シュ	おもむき おもむ.く	gist, proceed to, tend, become
陥	カン	おちい.る おとしい.れる	collapse, fall into, cave in, fall (castle), slide into
斎	サイ イ.	とき つつし.む ものいみ	purification, Buddhist food, room, worship, avoid, alike
貫	カン ヌ	つらぬ.く ぬ.く	pierce, 8 1, 3lbs, penetrate, brace
仙	セン セン		hermit, wizard, cent
慰	イ	なぐさ.める なぐさ.む	consolation, amusement, seduce, cheer, make sport of, comfort, console
序	ジョ ツイ	つい.で	preface, beginning, order, precedence, occasion, chance, incidentally
旬	ジュン シュン		decameron, 10day period, season (for specific products
兼	ケン -カ.ネ	か.ねる	concurrently, and
聖	セイ ショウ ヒジ		holy, saint, sage, master, priest
旨	シ	むね うま.い	delicious, relish, show a liking for, purport, will, clever, expert
即	ソク	つ.く つ.ける すなわ.ち	instant, namely, as is, conform, agree, adapt
柳	リュウ ヤナ		willow
舎	シャ セキ ヤド.		cottage, inn, hut, house, mansion
偽	ギ カ	いつわ.る にせ いつわ.り	falsehood, lie, deceive, pretend, counterfeit, forgery
較	カク コウ	くら.べる	contrast, compare
覇	ハ ハク	はたがしら	hegemony, supremacy, leadership, champion
詳	ショウ ツマビ.ラ	くわ.しい	detailed, full, minute, accurate, well-informed
抵	テイ		resist, reach, touch
脅	キョウ	おびや.かす おど.す おど.かす	threaten, coerce
茂	モ シゲ.		overgrown, grow thick, be luxuriant
犠	ギ キ	いけにえ	sacrifice
旗	キ	はた	national flag, banner, standard
距	キョ	へだ.たる	long-distance
雅	ガ ミヤ.		gracious, elegant, graceful, refined
飾	ショク カザ.	かざ.る	decorate, ornament, adorn, embellish
網	モウ ア		netting, network
竜	リュウ リョウ ロウ イ	たつ	dragon, imperial
詩			poem, poetry
繁	ハン	しげ.る しげ.く	luxuriant, thick, overgrown, frequency, complexity, trouble
翼	ヨク	つばさ	wing, plane, flank
潟	セキ -ガ	かた	lagoon
敵	テキ	かたき かな.う	enemy, foe, opponent
魅	ミ		fascination, charm, bewitch
嫌	ケン ゲン	きら.う きら.い いや	dislike, detest, hate
斉	セイ サイ ハヤ	そろ.う ひと.しい ひと.しく あたる	adjusted, alike, equal, similar variety of
敷	フ -シ.	し.く	spread, pave, sit, promulgate
擁	ヨウ		hug, embrace, possess, protect, lead
圏	ケン	かこ.い	sphere, circle, radius, range
酸	サン	す.い	acid, bitterness, sour, tart
罰	バツ バチ ハツ	ばっ.する	penalty, punishment
滅	メツ	ほろ.びる ほろ.ぶ ほろ.ぼす	destroy, ruin, overthrow, perish
礎	ソ イシズ		cornerstone, foundation stone
腐	フ	くさ.る -くさ.る くさ.れる くさ.れ くさ.らす くさ.す	rot, decay, sour
脚	キャク キャ カク ア		skids, leg, undercarriage
潮	チョウ ウシ	しお	tide, salt water, opportunity
梅	バイ	うめ	plum
尽	ジン サン	つ.くす -つ.くす -づ.くし -つ.く -づ.く -ず.く つ.きる つ.かす さかづき ことごと.く つか つき	exhaust, use up, run out of, befriend, serve
僕	ボク	しもべ	me, I (male)
桜	オウ ヨウ サク		cherry
滑	カツ コツ ナメ.ラ	すべ.る	slippery, slide, slip, flunk
孤	コ		orphan, alone
炎	エン ホノ		inflammation, flame, blaze
賠	バイ		compensation, indemnify
句			phrase, clause, sentence, passage, paragraph, counter for haiku
鋼	コウ	はがね	steel
頑	ガン	かたく	stubborn, foolish, firmly
鎖	サ	くさり とざ.す	chain, irons, connection
彩	サイ イロド.		coloring, paint, makeup
摩	マ	ま.する さ.する す.る	chafe, rub, polish, grind, scrape
励	レイ	はげ.む はげ.ます	encourage, be diligent, inspire
縦	ジュウ	たて	vertical, length, height, self-indulgent, wayward
輝	キ カガヤ.		radiance, shine, sparkle, gleam, twinkle
蓄	チク	たくわ.える	amass, keeping a concubine, phonograph
軸	ジク		axis, pivot, stem, stalk, counter for book scrolls
巡	ジュン	めぐ.る めぐ.り	patrol, go around, circumference
稼	カ	かせ.ぐ	earnings, work, earn money
瞬	シュン	またた.く	wink, blink, twinkle
砲	ホ		cannon, gun
噴	フン	ふ.く	erupt, spout, emit, flush out
誇	コ	ほこ.る	boast, be proud, pride, triumphantly
祥	ショ		auspicious, happiness, good omen
牲	セイ		animal sacrifice, offering
秩	チ		regularity, salary, order
帝	テイ	みかど	sovereign, the emperor, god, creator
